Question,Category,Difficulty,Company,Topic,Role,Answer1,Answer2
"""How do you plan to approach the architectural design for systems of different scales, such as Walmart, Amazon, or a coupon site?""",Machine Learning,Hard,Coupang,"System Architecture, Scalability, Cloud Computing","Senior Software Engineer, System Architect, Site Reliability Engineer","I'd design scalable, cloud-based solutions.","To design systems for Walmart or Amazon scale, I would break the architecture into smaller, manageable components. Each component would be designed to handle increasing loads as needed. To achieve this, I would leverage cloud computing services that offer auto-scaling capabilities."
"""How have you managed the transition of a team from Waterfall to Scrum and what challenges did you overcome during the process?""",Technical,Medium,Accenture,"Agile Methodologies, Scrum Framework, Project Management, Team Transition","Scrum Master, Project Manager, Team Lead, Software Developer","Managed team transition from Waterfall to Scrum, overcame challenges during the process.","I led my team through a transition from traditional Waterfall project management to Agile Scrum methodology. During this process, we faced challenges such as changing roles and responsibilities, adapting to sprints, and learning new tools like Jira. However, by consistently communicating, collaborating, and focusing on delivering value incrementally, we were able to successfully complete the transition."
"""How would you design a simple to-do list application permitting users to add, complete, and delete tasks?""",Behavioral,Medium,Google,"Software Design, User Interface Design, Task Management","Software Developer, UI/UX Designer, Product Manager","Design a task app with add, complete, and delete functions.","To design a simple to-do list application, you would need to create features that allow users to input tasks, mark them as completed, and remove tasks when necessary. This could involve using programming languages for the backend, designing an intuitive user interface, and understanding task management principles."
"Can you explain the differences and interrelations between process risk and control, and their significance in your role? Can you describe the audit process methodology you used, detailing the different phases and your responsibilities in each?",Technical,Medium,GreenSky,"Risk Management, Control Mechanisms, Audit Process","IT Auditor, Compliance Officer, Risk Analyst","Explaining process risks, controls, and their roles in audits.","Process risk refers to the likelihood of an undesirable event happening during a business process. Controls are measures put in place to mitigate these risks. In my role, I identify these risks, implement controls, and conduct audits to ensure they're working effectively. The audit process involves different phases such as planning, fieldwork, and reporting, where I define objectives, gather evidence, and report findings."
How much laundry detergent is used every year around the world,Estimation,Hard,Exponent,"Data Analysis, Statistics","Data Analyst, Business Intelligence Analyst","It's hard to say, as data isn't easily available.",This question requires gathering and analyzing global data on laundry habits and detergent usage. It involves statistical analysis and possibly big data techniques.
why PlayStation? what inspired you to join PlayStation? 3.questions related to background and knowledge of project,Behavioral,Easy,PlayStation,"Gaming Industry, PlayStation Brand, Company Culture","Game Developer, Quality Assurance Tester, Product Manager",I love PlayStation games and want to contribute.,"I have a deep passion for the gaming industry, particularly the PlayStation brand. I believe that joining the company would provide me with an opportunity to work on exciting projects and contribute to the development of innovative games."
10% of Netflix users are inactive. How would you investigate?,Execution,Hard,Netflix,"Data Analysis, Database Management, Business Intelligence","Data Analyst, Business Intelligence Analyst, Data Scientist",Investigate by analyzing user data and database.,"To investigate, I would first analyze the user data to identify patterns of inactivity. Then, I would use SQL queries or BI tools to extract relevant information from the Netflix database. This could involve looking at login times, last activity dates, and other usage metrics. The goal is to understand why these users are inactive and if there's a way to re-engage them."
"A company is moving into a new office space, and as a PM you have to name all the conference rooms so that any one new who walks in would not have to ask for directions",Product Design,Hard,Media.net,"Project Management, Office Space Planning, Naming Conventions","Product Manager, Facilities Manager, Office Administrator",Name conference rooms for clarity.,"As a Product Manager, you should name the conference rooms in a way that anyone who enters would understand their purpose without asking directions. This could include naming them based on function (e.g., 'Meeting Room', 'Brainstorming Room'), location (e.g., 'First Floor Conference Room'), or project (e.g., 'Project X Conference Room')."
A delivery driver needs to deliver over 200 packages in an 8-hour day. How would you ensure this happens?,Program Sense,Hard,Amazon,"Logistics Management, Route Optimization, Time Management","Delivery Manager, Transportation Planner, Operations Analyst",Implement efficient routes and manage time effectively.,"To ensure the delivery driver can deliver over 200 packages in an 8-hour day, you would first need to optimize the delivery routes to minimize travel distance. Then, plan breaks strategically throughout the day to maintain productivity without sacrificing speed. Additionally, monitor progress using real-time tracking systems to address any potential delays promptly."
A knapsack has max capacity C and there are n items each with weight w[i] and value v[i] each. Maximize the value in the knapsack without exceeding its max capacity.,Algorithms,Hard,Uber,"Dynamic Programming, Knapsack Problem","Software Engineer, Data Scientist, Algorithm Designer",Maximize the value of items in a knapsack without exceeding its capacity.,"This problem involves finding the most valuable combination of items to put into a knapsack, given their weights and values. It's a classic example of dynamic programming that helps solve optimization problems."
A potential client is asking for a guarantee that a certain feature will be delivered by a certain date. Your team has not considered this feature before. What would you do?,Product Design,Medium,Paxos,"Project Management, Client Relations, Risk Assessment","Project Manager, Sales Representative, Software Developer","I'd need to assess feasibility, discuss with the team, and provide an updated timeline.","First, I would analyze if our team has the necessary resources and skills to deliver the feature. Then, I would communicate with the client about the new timeline, keeping them informed throughout the process."
"A super-app like Grab decides to launch a new vertical (perhaps peer-to-peer car rental). In the first six months, what metrics would you look at to see if this new vertical looks promising?",Execution,Hard,Uber,"Data Analysis, Business Metrics, Product Launch Strategy","Product Manager, Data Analyst, Business Intelligence Specialist",Key performance indicators (KPIs) for the first six months.,"To determine if a new peer-to-peer car rental vertical is promising, I would look at key performance indicators such as revenue growth, user adoption rate, customer satisfaction, and operational efficiency. These metrics can help understand the market fit, profitability, and overall success of the new venture."
"A vowel substring is a substring that only consists of vowels ('a', 'e', 'i', 'o', and 'u') and has all five vowels present in it. Given a string word, return the number of vowel substrings in word.",Data Structures,Medium,Oracle,"String Manipulation, Algorithms, Programming","Software Developer, Algorithm Engineer, Data Scientist",Count the number of vowel substrings in a given string.,"This question tests your ability to iterate through a string, identify substrings that only contain vowels ('a', 'e', 'i', 'o', and 'u'), and count their occurrences. This is a common problem in programming, especially when dealing with strings."
Abbreviate an array of strings.,Algorithms,Hard,Apple,"Data Structures, Algorithms","Software Engineer, Data Analyst, DevOps Engineer",Combine strings in an array into shorter forms.,"This question tests your understanding of handling arrays and string manipulation. The goal is to convert a given array of strings into abbreviated versions, which can be useful for saving space or making data easier to read."
